instagram_handle,caption,shortcode,city,state,likes,display_url
blackveiltattoo,"wickedness 🌑 @mattwmurray .
.
 #blackveiltattoo #blacktattooart #tattooistartmag #darkartists #blackworkerssubmission #inkedmagazine  #blacktattooing #blxckink #tattoodo #tattoosnob #skinartmag #blackwork  #salemma #blackworkers  #darkartistries #salem #btattooing #onlythedarkest #witch #salemmassachusetts #blackworkartists #flashworkers #tattoosnob #inkpoisoning #inkjunkeyz #wickedwitchofthewest #wizardofoz",BnojeXFHq6C,Salem,Massachusetts,6621,https://instagram.fphl1-1.fna.fbcdn.net/vp/2e3b4607dde322dd5de6c7e663040903/5C1E7DB4/t51.2885-15/e35/40357547_501870010280322_230957001745686165_n.jpg
mattwmurray,"I feel lucky and grateful to have won tattoo of day Saturday.
Thank you to everyone who stopped by to visit us this past weekend during the @hell_city tattoo fest, special thanks to our friends @vitalitreetattoo for having us tattoo alongside them and to @durbmorrison for having us as well for hosting such an amazing weekend. Until next time Arizona 🖤🕷 #blackveiltattoo #blacktattooart #tattooistartmag #darkartists #blackworkerssubmission #inkedmagazine  #blacktattooing #blxckink #tattoodo #tattoosnob #skinartmag #blackwork  #salemma #blackworkers  #darkartistries #salem #btattooing #onlythedarkest",Bm_h7bUg6d9,Phoenix,Arizona,5996,https://instagram.fphl1-1.fna.fbcdn.net/vp/f9c6491fe31c37edd44ab9ab04df70ba/5BFD4778/t51.2885-15/e35/40194119_2121073874578009_7995443433843982336_n.jpg
blackveiltattoo,"Scarce heard, beneath yon arching trees, 
The silver-crested ripples pass,
and, like a mimic brook, the breeze
Whispers among the grass. 🌑 @mattwmurray .
.
#blackveiltattoo #blacktattooart #tattooistartmag #darkartists #blackworkerssubmission #inkedmagazine  #blacktattooing #blxckink #tattoodo #tattoosnob #skinartmag #blackwork  #salemma #blackworkers  #darkartistries #salem #btattooing #onlythedarkest #blackworkartists #flashworkers #tattoosnob #inkpoisoning #inkjunkeyz #blackhopecurse #salem",Bny65z8HlxD,Salem,Massachusetts,5820,https://instagram.fphl1-1.fna.fbcdn.net/vp/109b59b36c6abe20974d54e531a1bb6d/5C2319E2/t51.2885-15/e35/40849450_949212328584269_9107829114607145388_n.jpg
angeloparente,"#edwardscissorhands ❄️ and some familiar lyrics 😉#blackcaskettattoo .
.
.
.
. 
#blacktattoo #inkedmag #jetblacksupply #radtattoos #workhorseirons #blackclawneedle #blackworkers #blackwork #btattooing #blxckink #thebesttattooartists #eternalink #taot #blackworkerssubmission #darkartists #bishoprotary #onlythedarkest #onlyblackart #blacktattooart #blacktattooworld #d_world_of_ink #skinart_mag #theblackmasters #tttism #motionlessinwhite #timburton",BnZ9aGLgBTV,Scranton,Pennsylvania,5036,https://instagram.fphl1-1.fna.fbcdn.net/vp/6b6e8f814ffba3437f00653ed9d74295/5C33A8DD/t51.2885-15/e35/40337925_310270039778593_5838030207777891042_n.jpg
thiefhands,Some pups just can’t catch a frisbee!,BnsUsv2hdhM,Portland,Oregon,4070,https://instagram.fphl1-1.fna.fbcdn.net/vp/8f8a8d718e51328d62e5f14105e10634/5C2463E0/t51.2885-15/e35/40382325_1115029831987432_1703528511578507654_n.jpg
moontattoostudio,"Gorgeous celestial piece by @mrdavidpoe .
.
.
.
.
.
.
.
.
.
#austintattoo #austintattooartist #onlythedarkest #tattoos #tattooartist #blackwork #blacktattooart #blacktattoomag #blackworkartists #blackworkerssubmission #btattooing #linework #dotwork #occultarcana #onlyblackart #blacktattooart #texastattooartist #blackworkers #atxtattoo #tattooistartmagazine #darkartists #tattoo #etchingtattoo #cloudtattoo #moontattoo #magicaltattoo #delicatetattoo",BnPET1dBQtw,Austin,Texas,3583,https://instagram.fphl1-1.fna.fbcdn.net/vp/130498cb361b0ba833418eb8b49b226b/5C154D6E/t51.2885-15/e35/40045800_463502880837044_8696018682188398592_n.jpg
evantattoo,"All my love, Dad 
#handwriting #evantattoo #evantattooinNYC #tattootrip
.
.
.
.
.
.
.
#finelinetattoo #tattoo #tattooed #inked #blackwork #blackworkers #tattooart #fashiontattoo #문신 #타투 #NYC  #minimaltattoo #blackclawneedle #blacktattoo",BnrV1n5niLr,New York,New York,2845,https://instagram.fphl1-1.fna.fbcdn.net/vp/c9515e69b2857cfc2e7ae2595948a2c4/5C359159/t51.2885-15/e35/38760411_455734098280444_3036479171267310625_n.jpg?_nc_eui2=AeGVqHc8JFhCOH1RCnHYZDGMMxQqCBE4I4a9eIzcSP8rQxa-1RXHnAdmeXIpQTLRDm-OXU4lVW7kA4aZVf6KAoae
marlonb_tatts,"Add #neobuddhism for Milena 
#sanfrancisco #marlonb_tatts 
________________________________
——————————————
Shop @form8_tattoo",BnYBq_HgFsn,San Francisco,California,2686,https://instagram.fphl1-1.fna.fbcdn.net/vp/0dda91f933817ad409cbaee1d0603c56/5C2D23B6/t51.2885-15/e35/40381435_272769860224769_3526218552036156881_n.jpg
marlonb_tatts,"Add #neobuddhism for Milena 
#sanfrancisco #marlonb_tatts 
________________________________
——————————————
Shop @form8_tattoo",BnYBq_HgFsn,San Francisco,California,2682,https://instagram.fphl1-1.fna.fbcdn.net/vp/1efdec76a95a505a58bd5b3857264376/5C2D23B6/t51.2885-15/e35/40381435_272769860224769_3526218552036156881_n.jpg?_nc_eui2=AeHCcZz_zt2uyBmK8h9XO_L3eLuy_lpyfevnDvrH03GRbW6eoIqoGlL1xbc7Dnohw7Gj779dKZWxfMIFu1Y4chaf
marlonb_tatts,"Добавили #neobuddhism для Милены 
#санфранциско #marlonb_tatts 
______________________________________________________————————————————————————
Shop @form8_tattoo",BnYFfB3AMh7,San Francisco,California,2458,https://instagram.fphl1-1.fna.fbcdn.net/vp/3bb838eefcdbf07b1fee018c8f0fbc79/5C242835/t51.2885-15/e35/39969383_729670910714180_1204143358926742146_n.jpg
